2020-07-16 12:29:09.634 [Test worker] INFO  C.G.P.ForgotPasswordRepositoryTest: Starting ForgotPasswordRepositoryTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:23.211 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:32:23.211 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:32:23.216 [Test worker] INFO  C.G.Question.Question: Function call to add an instructor for a course using course Id and email Id
2020-07-16 12:32:23.217 [Test worker] INFO  C.G.Question.Question: Function call to add an instructor for a course using course Id and email Id
2020-07-16 12:32:23.219 [Test worker] INFO  C.G.Question.Question: Function call to enroll a TA for the course using email id
2020-07-16 12:32:23.220 [Test worker] INFO  C.G.Question.Question: Function call to enroll a TA for the course using email id
2020-07-16 12:32:23.224 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:23.224 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:23.229 [Test worker] INFO  C.G.Question.Question: Get the courses for a TA using email Id
2020-07-16 12:32:23.229 [Test worker] INFO  C.G.Question.Question: Get the courses for a TA using email Id
2020-07-16 12:32:23.237 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:32:23.237 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:32:23.334 [Test worker] INFO  C.G.Q.QuestionManagerRepository: Added valid students in a proper data list 
2020-07-16 12:32:23.354 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:23.355 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:23.355 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:23.355 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:23.362 [Test worker] INFO  C.GroupFormationTool.Course.Course: Creating a new course and storing it in the database
2020-07-16 12:32:23.362 [Test worker] INFO  C.GroupFormationTool.Course.Course: Creating a new course and storing it in the database
2020-07-16 12:32:23.364 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:32:23.364 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:32:23.365 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:32:23.365 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:32:23.371 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:32:23.372 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:32:23.391 [Test worker] INFO  C.G.C.InstructorCourseControllerTest: Starting InstructorCourseControllerTest on Prabhjots-MacBook-Pro.local with PID 40746 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:23.392 [Test worker] INFO  C.G.C.InstructorCourseControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:32:23.772 [Test worker] INFO  C.G.C.InstructorCourseControllerTest: Started InstructorCourseControllerTest in 0.392 seconds (JVM running for 5.37)
2020-07-16 12:32:23.777 [Test worker] INFO  C.G.C.InstructorCourseController: Checking if instructor has created a survey for the course
2020-07-16 12:32:23.777 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Getting survey id based on course id
2020-07-16 12:32:23.777 [Test worker] INFO  C.G.C.InstructorCourseController: Checking if instructor has published the survey for the course
2020-07-16 12:32:23.778 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Checking if the survey is published for the course from the database
2020-07-16 12:32:23.832 [Test worker] INFO  C.G.Course.CourseControllerTest: Starting CourseControllerTest on Prabhjots-MacBook-Pro.local with PID 40746 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:23.833 [Test worker] INFO  C.G.Course.CourseControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:32:24.201 [Test worker] INFO  C.G.Course.CourseControllerTest: Started CourseControllerTest in 0.38 seconds (JVM running for 5.799)
2020-07-16 12:32:24.224 [Test worker] INFO  C.GroupFormationTool.Course.Course: Creating a new course and storing it in the database
2020-07-16 12:32:24.224 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.225 [Test worker] WARN  C.G.Course.CourseController: Course is not added successfully
2020-07-16 12:32:24.249 [Test worker] INFO  C.GroupFormationTool.Course.Course: Creating a new course and storing it in the database
2020-07-16 12:32:24.250 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.250 [Test worker] WARN  C.G.Course.CourseController: Course is not added successfully
2020-07-16 12:32:24.266 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.274 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.277 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.288 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.289 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Checks of the survey is published for a course
2020-07-16 12:32:24.297 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.298 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Checks of the survey is published for a course
2020-07-16 12:32:24.304 [Test worker] INFO  C.G.Course.CourseController: Fetch TA for a course using course Id
2020-07-16 12:32:24.304 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:32:24.323 [Test worker] INFO  C.G.Course.CourseController: Function call to fetch all the courses details
2020-07-16 12:32:24.324 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.331 [Test worker] INFO  C.G.Question.Question: Function call to enroll a TA for the course using email id
2020-07-16 12:32:24.331 [Test worker] WARN  C.G.Course.CourseController: TA is not successfully added to the course
2020-07-16 12:32:24.331 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:32:24.335 [Test worker] INFO  C.G.Question.Question: Function call to enroll a TA for the course using email id
2020-07-16 12:32:24.336 [Test worker] WARN  C.G.Course.CourseController: TA is not successfully added to the course
2020-07-16 12:32:24.336 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:32:24.342 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:32:24.342 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:32:24.343 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.347 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:32:24.347 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:32:24.347 [Test worker] INFO  C.G.Course.CourseController: Fetch user role based on th email Id
2020-07-16 12:32:24.347 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.349 [Test worker] INFO  C.G.Course.CourseController: User is a Guest User
2020-07-16 12:32:24.349 [Test worker] INFO  C.G.Course.CourseController: Function call to fetch all courses details for a guest user
2020-07-16 12:32:24.349 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.355 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:32:24.356 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:32:24.356 [Test worker] INFO  C.G.Course.CourseController: Fetch user role based on th email Id
2020-07-16 12:32:24.356 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.356 [Test worker] INFO  C.G.Course.CourseController: User is a Student
2020-07-16 12:32:24.356 [Test worker] INFO  C.G.Course.CourseController: Function call to fetch enrolled courses for a student
2020-07-16 12:32:24.356 [Test worker] INFO  C.G.Question.Question: Get the courses enrolled by a student using student's email Id
2020-07-16 12:32:24.362 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:32:24.362 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:32:24.363 [Test worker] INFO  C.G.Course.CourseController: Fetch user role based on th email Id
2020-07-16 12:32:24.363 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.363 [Test worker] INFO  C.G.Course.CourseController: User is a TA
2020-07-16 12:32:24.363 [Test worker] INFO  C.G.Course.CourseController: Function call to get TA courses
2020-07-16 12:32:24.364 [Test worker] INFO  C.G.Question.Question: Get the courses for a TA using email Id
2020-07-16 12:32:24.364 [Test worker] INFO  C.G.Course.CourseController: Function call to fetch student courses
2020-07-16 12:32:24.364 [Test worker] INFO  C.G.Question.Question: Get the courses enrolled by a student using student's email Id
2020-07-16 12:32:24.371 [Test worker] INFO  C.G.Course.CourseController: Condition check if current user is admin or not
2020-07-16 12:32:24.371 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:32:24.371 [Test worker] INFO  C.G.Course.CourseController: Fetch user role based on th email Id
2020-07-16 12:32:24.371 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:32:24.371 [Test worker] INFO  C.G.Course.CourseController: User is an Instructor
2020-07-16 12:32:24.371 [Test worker] INFO  C.G.Question.Question: Function call to get instructors for a course using email Id
2020-07-16 12:32:24.380 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:32:24.380 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.380 [Test worker] INFO  C.G.Course.CourseController: Course is deleted successfully
2020-07-16 12:32:24.384 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:32:24.384 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.384 [Test worker] INFO  C.G.Course.CourseController: Course is not deleted successfully
2020-07-16 12:32:24.387 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:32:24.387 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.387 [Test worker] INFO  C.G.Course.CourseController: Course is deleted successfully
2020-07-16 12:32:24.390 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the deleteCourse repository function to delete the course from the Database
2020-07-16 12:32:24.391 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.391 [Test worker] INFO  C.G.Course.CourseController: Course is not deleted successfully
2020-07-16 12:32:24.418 [Test worker] INFO  C.G.Course.GuestControllerTest: Starting GuestControllerTest on Prabhjots-MacBook-Pro.local with PID 40746 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:24.418 [Test worker] INFO  C.G.Course.GuestControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:32:24.778 [Test worker] INFO  C.G.Course.GuestControllerTest: Started GuestControllerTest in 0.37 seconds (JVM running for 6.375)
2020-07-16 12:32:24.782 [Test worker] INFO  C.G.Q.QuestionManagerRepository: Function call to fetch all course details for a Guest user
2020-07-16 12:32:24.782 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:24.815 [Test worker] INFO  C.G.Course.AdminControllerTest: Starting AdminControllerTest on Prabhjots-MacBook-Pro.local with PID 40746 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:24.815 [Test worker] INFO  C.G.Course.AdminControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:32:25.170 [Test worker] INFO  C.G.Course.AdminControllerTest: Started AdminControllerTest in 0.365 seconds (JVM running for 6.768)
2020-07-16 12:32:25.175 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching course details by using course Id
2020-07-16 12:32:25.175 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:32:25.175 [Test worker] INFO  C.G.Q.QuestionAdminController: Assign/Add instructor to a course
2020-07-16 12:32:25.175 [Test worker] INFO  C.G.Question.Question: Function call to add an instructor for a course using course Id and email Id
2020-07-16 12:32:25.176 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetch instructor for a course
2020-07-16 12:32:25.176 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:32:25.179 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching course details by using course Id
2020-07-16 12:32:25.180 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:32:25.180 [Test worker] INFO  C.G.Q.QuestionAdminController: Assign/Add instructor to a course
2020-07-16 12:32:25.180 [Test worker] INFO  C.G.Question.Question: Function call to add an instructor for a course using course Id and email Id
2020-07-16 12:32:25.180 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetch instructor for a course
2020-07-16 12:32:25.180 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:32:25.184 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching course details using courseId from the Database
2020-07-16 12:32:25.184 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:32:25.184 [Test worker] INFO  C.G.Question.Question: The function call return the users that are not enrolled as an instructor for a course
2020-07-16 12:32:25.185 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching instructors list for a course using courseId
2020-07-16 12:32:25.185 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:32:25.206 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching all course details from the Database
2020-07-16 12:32:25.206 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:32:25.227 [Test worker] INFO  C.G.Security.LoginControllerTest: Starting LoginControllerTest on Prabhjots-MacBook-Pro.local with PID 40746 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:25.228 [Test worker] INFO  C.G.Security.LoginControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:32:25.555 [Test worker] INFO  C.G.Security.LoginControllerTest: Started LoginControllerTest in 0.338 seconds (JVM running for 7.153)
2020-07-16 12:32:25.594 [Test worker] INFO  C.G.S.UserRegistrationControllerTest: Starting UserRegistrationControllerTest on Prabhjots-MacBook-Pro.local with PID 40746 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:25.595 [Test worker] INFO  C.G.S.UserRegistrationControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:32:25.929 [Test worker] INFO  C.G.S.UserRegistrationControllerTest: Started UserRegistrationControllerTest in 0.344 seconds (JVM running for 7.526)
2020-07-16 12:32:25.934 [Test worker] INFO  C.G.S.UserRegistrationController: Fetching the password policies of the system
2020-07-16 12:32:25.934 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to fetch all the password security policies from database
2020-07-16 12:32:25.961 [Test worker] INFO  C.G.Mail.MailManager: smtp connection for mail has been setup
2020-07-16 12:32:25.962 [Test worker] INFO  C.G.Mail.MailManager: smtp connection for mail has been setup
2020-07-16 12:32:25.962 [Test worker] INFO  C.G.Mail.MailManager: smtp connection for mail has been setup
2020-07-16 12:32:25.991 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:32:25.991 [Test worker] INFO  C.GroupFormationTool.User.User: Checking if current user is admin
2020-07-16 12:32:25.994 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:32:25.994 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:32:25.994 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:32:25.994 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:32:25.995 [Test worker] INFO  C.GroupFormationTool.User.User: Calling the user repository function to save the new user to Database
2020-07-16 12:32:25.995 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:32:25.995 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:32:25.995 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:32:25.995 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:32:25.996 [Test worker] ERROR C.G.Password.Policy: Minimum password length security policy is violated
2020-07-16 12:32:25.996 [Test worker] WARN  C.GroupFormationTool.User.User: User cannot be created due to violation of password security policy
2020-07-16 12:32:25.996 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:32:25.996 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:32:25.996 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:32:25.996 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:32:25.996 [Test worker] WARN  C.GroupFormationTool.User.User: User cannot be created due to mismatch of confirm password field
2020-07-16 12:32:25.996 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:32:25.996 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:32:25.996 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:32:25.996 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:32:25.997 [Test worker] WARN  C.GroupFormationTool.User.User: User cannot be created as the user with same details already exists
2020-07-16 12:32:25.997 [Test worker] INFO  C.GroupFormationTool.User.User: Creating the user and saving it to the database
2020-07-16 12:32:25.997 [Test worker] INFO  C.GroupFormationTool.User.User: Checking for invalid user data
2020-07-16 12:32:25.997 [Test worker] WARN  C.GroupFormationTool.User.User: User cannot be created due to some invalid details
2020-07-16 12:32:25.997 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:32:25.997 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:32:25.997 [Test worker] INFO  C.GroupFormationTool.User.User: Calling the user repository function to save the new user to Database
2020-07-16 12:32:26.039 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionListForInstructor repository function to fetch the question bank from the Database
2020-07-16 12:32:26.040 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionListForInstructor repository function to fetch the question bank from the Database
2020-07-16 12:32:26.043 [Test worker] INFO  C.G.Question.Question: Calling the deleteQuestion repository function to delete the question from the Database
2020-07-16 12:32:26.046 [Test worker] INFO  C.G.Question.Question: Calling the getSortedQuestionListForInstructor repository function to fetch the question bank in a sorted order from the Database
2020-07-16 12:32:26.046 [Test worker] INFO  C.G.Question.Question: Calling the getSortedQuestionListForInstructor repository function to fetch the question bank in a sorted order from the Database
2020-07-16 12:32:26.049 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionById repository function to fetch a question from the Database
2020-07-16 12:32:26.050 [Test worker] INFO  C.G.Question.Question: Calling the getOptionsForTheQuestion repository function to fetch the options of a multiple choice question from the Database
2020-07-16 12:32:26.062 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.062 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.062 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:32:26.062 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:32:26.062 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.063 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:32:26.064 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:32:26.066 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.066 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.066 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.066 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.091 [Test worker] INFO  C.G.Q.QuestionManagerControllerTest: Starting QuestionManagerControllerTest on Prabhjots-MacBook-Pro.local with PID 40746 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:26.092 [Test worker] INFO  C.G.Q.QuestionManagerControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:32:26.415 [Test worker] INFO  C.G.Q.QuestionManagerControllerTest: Started QuestionManagerControllerTest in 0.333 seconds (JVM running for 8.013)
2020-07-16 12:32:26.421 [Test worker] INFO  C.G.Q.QuestionManagerController: Saving the question created by the instructor to the database
2020-07-16 12:32:26.421 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.421 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.421 [Test worker] INFO  C.G.Question.Question: Creating the options for question if applicable (Multiple Choice only)
2020-07-16 12:32:26.421 [Test worker] INFO  C.G.Question.Question: Calling the createQuestion repository function to save the question to Database
2020-07-16 12:32:26.421 [Test worker] INFO  C.G.Q.QuestionManagerController: Question is saved to the database and the instructor views the saved question
2020-07-16 12:32:26.424 [Test worker] INFO  C.G.Q.QuestionManagerController: Saving the question created by the instructor to the database
2020-07-16 12:32:26.424 [Test worker] INFO  C.G.Question.Question: Creating the question and saving it to the database
2020-07-16 12:32:26.424 [Test worker] INFO  C.G.Question.Question: Checking for invalid data
2020-07-16 12:32:26.424 [Test worker] INFO  C.G.Q.QuestionManagerController: One or more input fields have invalid/empty data
2020-07-16 12:32:26.445 [Test worker] INFO  C.G.Q.QuestionManagerController: Deleting the question created by the instructor from the database
2020-07-16 12:32:26.445 [Test worker] INFO  C.G.Question.Question: Calling the deleteQuestion repository function to delete the question from the Database
2020-07-16 12:32:26.445 [Test worker] INFO  C.G.Q.QuestionManagerController: Question successfully deleted!
2020-07-16 12:32:26.445 [Test worker] INFO  C.G.Q.QuestionManagerController: Redirecting to the instructor's question list page
2020-07-16 12:32:26.445 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionListForInstructor repository function to fetch the question bank from the Database
2020-07-16 12:32:26.450 [Test worker] INFO  C.G.Q.QuestionManagerController: Deleting the question created by the instructor from the database
2020-07-16 12:32:26.450 [Test worker] INFO  C.G.Question.Question: Calling the deleteQuestion repository function to delete the question from the Database
2020-07-16 12:32:26.450 [Test worker] INFO  C.G.Q.QuestionManagerController: The question could not be deleted
2020-07-16 12:32:26.450 [Test worker] INFO  C.G.Q.QuestionManagerController: Redirecting to the instructor's question list page
2020-07-16 12:32:26.450 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionListForInstructor repository function to fetch the question bank from the Database
2020-07-16 12:32:26.473 [Test worker] INFO  C.G.Q.QuestionAdminControllerTest: Starting QuestionAdminControllerTest on Prabhjots-MacBook-Pro.local with PID 40746 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:32:26.473 [Test worker] INFO  C.G.Q.QuestionAdminControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:32:26.795 [Test worker] INFO  C.G.Q.QuestionAdminControllerTest: Started QuestionAdminControllerTest in 0.334 seconds (JVM running for 8.393)
2020-07-16 12:32:26.799 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching the question by its id for the current instructor to view
2020-07-16 12:32:26.799 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionById repository function to fetch a question from the Database
2020-07-16 12:32:26.817 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching the question bank sorted based on the field like title and date for the logged in instructor
2020-07-16 12:32:26.817 [Test worker] INFO  C.G.Question.Question: Calling the getSortedQuestionListForInstructor repository function to fetch the question bank in a sorted order from the Database
2020-07-16 12:32:26.822 [Test worker] INFO  C.G.Q.QuestionAdminController: Fetching the question bank for the logged in instructor
2020-07-16 12:32:26.823 [Test worker] INFO  C.G.Question.Question: Calling the getQuestionListForInstructor repository function to fetch the question bank from the Database
2020-07-16 12:32:26.848 [Test worker] INFO  C.G.G.GroupFormationManager: Inserting into the groups for the course from the repository
2020-07-16 12:32:26.848 [Test worker] INFO  C.G.G.GroupFormationManager: Inserting into the groups for the course from the repository
2020-07-16 12:32:26.850 [Test worker] INFO  C.G.G.GroupFormationManager: Fetching the survey questions
